Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C15, C2, C22, C23, C24, C25, C26, C27, C28, C3, C4, C5, C6, C7",0603,16,100nF,C14663
C10,0603,1,1uF,C15849
C11,0603,1,22uF,C59461
"C13, C14",0603,2,20pF,C1648
"D1, D10, D12, D14, D18, D3, D5, D7",0402,8,LEDG,C130723
"D11, D13, D15, D19, D2, D4, D6, D8",0402,8,LEDB,C130724
D9,0402,1,LED,C130719
"IC1, IC10, IC11, IC2, IC3, IC4, IC5, IC6",SOP50P310X90-8N,8,SN74LVC2G241DCUR,C10430
IC9,SOT95P280X145-5N,1,TLV75533PDBVR,C404027
"J1, J11, J2, J3, J4, J6, J7, J8",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,8,Conn_01x03,C398546
J10,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Power Out [Jetson],C108769
J12,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,Switch Terminal,C3703
J13,PinSocket_1x02_P2.54mm_Vertical,1,FSR1,C7499322
J14,PinSocket_1x02_P2.54mm_Vertical,1,FSR2,C7499322
J15,PinSocket_2x06_P2.54mm_Vertical,1,Conn_02x06_Buck2,C42163126
J16,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Power Out [Extra1],C108769
J17,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
J18,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Power Out[Extra2],C108769
J9,PinSocket_2x06_P2.54mm_Vertical,1,Conn_02x06_Buck1,C42163126
"R1, R11, R12, R13, R17, R18, R24, R25, R26, R27, R36, R37, R38, R39, R4, R42, R43, R44, R45, R48, R49, R5, R50, R51, R52, R53, R56, R57, R58, R59, R6, R60, R61, R7, R8",0603,35,10K,C25804
"R10, R23, R29, R3, R32, R35, R41, R47, R55",0402,9,510,C25123
"R14, R15, R2, R22, R28, R34, R40, R46, R54, R9",0402,10,820,C25135
"R16, R19",0603,2,5.1K,C23186
"R20, R33",0603,2,4K7,C23162
"U10, U11, U3, U5, U6, U7, U8, U9",Texas_R-PUQFN-N12,8,TXB0104RUT,C105266
U2,XT30UPB-M,1,XT30UPB-M,C428721
U4,LQFP-100_14x14mm_P0.5mm,1,CH348L,C2979160
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C2682774
