Designator,Mid X,Mid Y,Rotation,Layer
C1,142.8298,-84.6488,180,top
C10,135.0286,-87.5338,180,top
C11,133.7716,-81.0314,90,top
C12,167.9208,-84.4666,180,top
C13,144.9832,-89.9047,90,bottom
C14,144.9832,-92.8889,270,bottom
C15,145.7452,-87.6808,180,bottom
C2,142.7768,-94.2144,180,top
C22,151.1678,-97.1296,180,bottom
C23,169.3034,-95.3008,0,bottom
C24,166.2814,-79.4004,0,bottom
C25,151.384,-79.0448,180,bottom
C26,148.59,-81.3308,180,bottom
C27,148.844,-90.7288,0,bottom
C28,149.5552,-85.1916,90,bottom
C3,151.499,-84.6836,180,top
C4,151.5144,-94.1832,180,top
C5,176.4064,-93.9194,180,top
C6,167.9738,-93.9314,180,top
C7,176.3979,-84.4158,180,top
D1,141.1361,-83.1794,0,top
D10,149.8207,-92.7138,0,top
D11,153.5666,-92.7106,0,top
D12,174.7127,-92.45,0,top
D13,178.4586,-92.4468,0,top
D14,166.2801,-92.462,0,top
D15,170.026,-92.4588,0,top
D18,166.2271,-82.9972,0,top
D19,169.973,-82.994,0,top
D2,144.882,-83.1762,0,top
D3,149.8053,-83.2142,0,top
D4,153.5512,-83.211,0,top
D5,141.0831,-92.745,0,top
D6,144.829,-92.7418,0,top
D7,174.7042,-82.9464,0,top
D8,178.4501,-82.9432,0,top
D9,131.8002,-82.044,90,top
IC1,143.6096,-88.1546,0,top
IC10,177.1777,-87.9216,0,top
IC11,168.7006,-87.9724,0,top
IC2,152.2788,-88.1894,0,top
IC3,143.5566,-97.7202,0,top
IC4,152.2942,-97.689,0,top
IC5,177.1862,-97.4252,0,top
IC6,168.7536,-97.4372,0,top
IC9,134.7724,-84.6582,270,top
J1,142.7416,-71.7988,270,top
J10,137.3124,-60.6152,90,top
J11,178.2,-71.8528,270,top
J12,152.8464,-61.72,180,top
J13,178.3338,-62.718,90,top
J14,178.333,-56.6112,90,top
J15,167.0554,-51.2772,0,bottom
J16,162.2218,-60.3982,90,top
J17,133.3,-94.232,90,bottom
J18,169.4718,-60.3982,90,top
J2,147.5724,-71.8204,270,top
J3,152.3984,-71.8204,270,top
J4,157.2244,-71.8204,270,top
J6,163.722,-71.8312,270,top
J7,168.548,-71.8312,270,top
J8,173.374,-71.8312,270,top
J9,140.995,-51.328,0,bottom
R1,174.6382,-60.6552,0,top
R10,151.669,-83.223,0,top
R11,174.8612,-65.532,180,top
R12,148.527,-85.9536,180,top
R13,151.4998,-86.1568,0,top
R14,175.4144,-64.2888,180,top
R15,173.5262,-64.3128,180,top
R16,131.8138,-94.742,180,top
R17,153.7472,-85.407,90,top
R18,148.5148,-89.8652,180,top
R19,131.8402,-93.2388,180,top
R2,139.2432,-83.1914,0,top
R20,148.8318,-92.202,0,bottom
R22,139.1902,-92.757,0,top
R23,142.9468,-92.7538,0,top
R24,139.8048,-95.4844,180,top
R25,142.7776,-95.6876,0,top
R26,145.025,-94.9378,90,top
R27,139.7926,-99.396,180,top
R28,172.8113,-82.9584,0,top
R29,176.5679,-82.9552,0,top
R3,142.9998,-83.1882,0,top
R32,130.835,-82.044,90,top
R33,145.733,-86.2076,180,bottom
R34,147.9278,-92.7258,0,top
R35,151.6844,-92.7226,0,top
R36,148.5424,-95.4532,180,top
R37,151.5152,-95.6564,0,top
R38,153.7626,-94.9066,90,top
R39,148.5302,-99.3648,180,top
R4,139.8578,-85.9188,180,top
R40,172.8198,-92.462,0,top
R41,176.5764,-92.4588,0,top
R42,173.4344,-95.1894,180,top
R43,176.4072,-95.3926,0,top
R44,178.6546,-94.6428,90,top
R45,173.4222,-99.101,180,top
R46,164.3872,-92.474,0,top
R47,168.1438,-92.4708,0,top
R48,165.0018,-95.2014,180,top
R49,167.9746,-95.4046,0,top
R5,142.8306,-86.122,0,top
R50,173.4259,-85.6858,180,top
R51,176.3987,-85.889,0,top
R52,178.6461,-85.1392,90,top
R53,173.4137,-89.5974,180,top
R54,164.3342,-83.0092,0,top
R55,168.0908,-83.006,0,top
R56,164.9488,-85.7366,180,top
R57,167.9216,-85.9398,0,top
R58,170.169,-85.19,90,top
R59,164.9366,-89.6482,180,top
R6,174.6382,-57.2008,0,top
R60,170.222,-94.6548,90,top
R61,164.9896,-99.113,180,top
R7,145.078,-85.3722,90,top
R8,139.8456,-89.8304,180,top
R9,147.9124,-83.2262,0,top
U10,173.7879,-87.626,270,top
U11,165.3108,-87.6768,270,top
U2,131.1656,-60.6552,270,top
U3,140.2198,-87.859,270,top
U4,159.0548,-88.8958,90,bottom
U5,140.1668,-97.4246,270,top
U6,148.9044,-97.3934,270,top
U7,173.7964,-97.1296,270,top
U8,148.889,-87.8938,270,top
U9,165.3638,-97.1416,270,top
Y1,142.5076,-91.4224,90,bottom
